date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:56	57260/57260	---M--	200	added ('OK')	image/jpeg	etag:%225e20e6ad71d7d3d4728927ab8e0bedaa%22	https://wieisdemol.assets.avrotros.nl/_processed_/d/1/csm_Moltalk9_ba56e20687.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/d/1/csm_Moltalk9_ba56e20687.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:56	29908/29908	---M--	200	added ('OK')	image/jpeg	etag:%222e55547f501020aa290ec2167f9fdd6d%22	https://wieisdemol.assets.avrotros.nl/_processed_/8/b/csm_MolTalk-gasten-6_19daf17f5b.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/8/b/csm_MolTalk-gasten-6_19daf17f5b.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:57	33188/33188	---M--	200	added ('OK')	image/jpeg	etag:%22fdc4df607498ce65bbb5fee7adfbd47e%22	https://wieisdemol.assets.avrotros.nl/_processed_/c/9/csm_Moltalk5_092e5a7ecf.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/c/9/csm_Moltalk5_092e5a7ecf.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:58	34337/34337	---M--	200	added ('OK')	image/jpeg	etag:%22739aaa6f8974d2e5bce2568212ddc5b6%22	https://wieisdemol.assets.avrotros.nl/_processed_/3/d/csm_Moltalk-2-14-januari-1280x720_d720ea981f.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/3/d/csm_Moltalk-2-14-januari-1280x720_d720ea981f.jpg	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:59	105633/105633	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:46:19%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-8-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-8-2/index.html	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:44:59	101487/101487	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:46:22%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-7-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-7-2/index.html	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:45:00	100913/100913	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:44:59%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-6-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-6-2/index.html	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:45:00	95654/95654	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:45:00%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-2-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-2-2/index.html	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:45:00	104437/104437	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:46:24%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-5-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-5-2/index.html	(from https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-9-2/)
18:45:01	59450/59450	---M--	200	added ('OK')	image/jpeg	etag:%22dd7d6e75213cf4bba269143833899a23%22	https://wieisdemol.assets.avrotros.nl/_processed_/8/e/csm_widm24-exclusief-keeswordtgerold_2381050007.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/8/e/csm_widm24-exclusief-keeswordtgerold_2381050007.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/exclusief-kees-wordt-gerold-1/)
